date,weekday,student_id,behavior_type,subject,attendance,month,week
2025-04-25 17:25:15.220804,4,1,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,2,chronic,maths,0,4,17
2025-04-25 17:25:15.220804,4,3,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,4,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,5,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,6,disciplined,maths,0,4,17
2025-04-25 17:25:15.220804,4,7,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,8,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,9,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,10,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,11,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,12,chronic,maths,1,4,17
2025-04-25 17:25:15.220804,4,13,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,14,disciplined,maths,0,4,17
2025-04-25 17:25:15.220804,4,15,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,16,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,17,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,18,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,19,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,20,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,21,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,22,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,23,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,24,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,25,disciplined,maths,0,4,17
2025-04-25 17:25:15.220804,4,26,borderline,maths,0,4,17
2025-04-25 17:25:15.220804,4,27,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,28,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,29,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,30,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,31,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,32,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,33,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,34,chronic,maths,1,4,17
2025-04-25 17:25:15.220804,4,35,chronic,maths,1,4,17
2025-04-25 17:25:15.220804,4,36,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,37,disciplined,maths,0,4,17
2025-04-25 17:25:15.220804,4,38,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,39,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,40,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,41,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,42,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,43,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,44,chronic,maths,1,4,17
2025-04-25 17:25:15.220804,4,45,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,46,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,47,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,48,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,49,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,50,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,51,chronic,maths,0,4,17
2025-04-25 17:25:15.220804,4,52,borderline,maths,0,4,17
2025-04-25 17:25:15.220804,4,53,chronic,maths,0,4,17
2025-04-25 17:25:15.220804,4,54,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,55,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,56,chronic,maths,0,4,17
2025-04-25 17:25:15.220804,4,57,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,58,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,59,disciplined,maths,0,4,17
2025-04-25 17:25:15.220804,4,60,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,61,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,62,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,63,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,64,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,65,disciplined,maths,0,4,17
2025-04-25 17:25:15.220804,4,66,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,67,disciplined,maths,0,4,17
2025-04-25 17:25:15.220804,4,68,borderline,maths,0,4,17
2025-04-25 17:25:15.220804,4,69,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,70,chronic,maths,1,4,17
2025-04-25 17:25:15.220804,4,71,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,72,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,73,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,74,borderline,maths,0,4,17
2025-04-25 17:25:15.220804,4,75,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,76,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,77,borderline,maths,0,4,17
2025-04-25 17:25:15.220804,4,78,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,79,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,80,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,81,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,82,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,83,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,84,disciplined,maths,0,4,17
2025-04-25 17:25:15.220804,4,85,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,86,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,87,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,88,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,89,borderline,maths,0,4,17
2025-04-25 17:25:15.220804,4,90,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,91,disciplined,maths,0,4,17
2025-04-25 17:25:15.220804,4,92,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,93,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,94,disciplined,maths,1,4,17
2025-04-25 17:25:15.220804,4,95,borderline,maths,1,4,17
2025-04-25 17:25:15.220804,4,96,disciplined,maths,0,4,17
2025-04-25 17:25:15.220804,4,97,disciplined,maths,0,4,17
2025-04-25 17:25:15.220804,4,98,disciplined,maths,1,4,17
