student_id,behavior_type,mean_attendance,perfect_attendance,chronic_absentee,attendance_rank
1,disciplined,0.845771144278607,False,False,172.0
2,chronic,0.3407960199004975,False,True,4.0
3,borderline,0.5920398009950248,False,False,35.0
4,disciplined,0.8656716417910447,False,False,254.0
5,disciplined,0.8283582089552238,False,False,122.0
6,disciplined,0.8432835820895522,False,False,160.0
7,disciplined,0.8631840796019901,False,False,245.0
8,borderline,0.6169154228855721,False,False,53.0
9,disciplined,0.8507462686567164,False,False,197.0
10,borderline,0.6467661691542289,False,False,90.0
11,disciplined,0.8482587064676617,False,False,187.0
12,chronic,0.3756218905472637,False,True,26.0
13,borderline,0.654228855721393,False,False,95.0
14,disciplined,0.8656716417910447,False,False,254.0
15,disciplined,0.8557213930348259,False,False,218.0
16,disciplined,0.8482587064676617,False,False,187.0
17,disciplined,0.8880597014925373,False,False,299.0
18,disciplined,0.8432835820895522,False,False,160.0
19,disciplined,0.8706467661691543,False,False,271.0
20,disciplined,0.8681592039800995,False,False,266.0
21,disciplined,0.8656716417910447,False,False,254.0
22,disciplined,0.845771144278607,False,False,172.0
23,disciplined,0.8283582089552238,False,False,122.0
24,disciplined,0.8606965174129353,False,False,235.0
25,disciplined,0.8656716417910447,False,False,254.0
26,borderline,0.6268656716417911,False,False,70.0
27,disciplined,0.8656716417910447,False,False,254.0
28,disciplined,0.8557213930348259,False,False,218.0
29,disciplined,0.8109452736318408,False,False,107.0
30,disciplined,0.8631840796019901,False,False,245.0
31,disciplined,0.8582089552238806,False,False,227.0
32,disciplined,0.8855721393034826,False,False,294.0
33,disciplined,0.8333333333333334,False,False,136.0
34,chronic,0.32587064676616917,False,True,1.0
35,chronic,0.35572139303482586,False,True,16.0
36,borderline,0.6592039800995025,False,False,98.0
37,disciplined,0.8283582089552238,False,False,122.0
38,disciplined,0.8432835820895522,False,False,160.0
39,borderline,0.6592039800995025,False,False,98.0
40,disciplined,0.845771144278607,False,False,172.0
41,disciplined,0.8383084577114428,False,False,144.0
42,disciplined,0.8706467661691543,False,False,271.0
43,disciplined,0.8557213930348259,False,False,218.0
44,chronic,0.36318407960199006,False,True,20.0
45,disciplined,0.8805970149253731,False,False,290.0
46,borderline,0.6194029850746269,False,False,57.0
47,disciplined,0.8631840796019901,False,False,245.0
48,disciplined,0.8507462686567164,False,False,197.0
49,disciplined,0.8432835820895522,False,False,160.0
50,disciplined,0.8731343283582089,False,False,277.0
51,chronic,0.35323383084577115,False,True,11.0
52,borderline,0.6268656716417911,False,False,70.0
53,chronic,0.3407960199004975,False,True,4.0
54,borderline,0.6467661691542289,False,False,90.0
55,disciplined,0.8432835820895522,False,False,160.0
56,chronic,0.3656716417910448,False,True,23.0
57,disciplined,0.8557213930348259,False,False,218.0
58,disciplined,0.8855721393034826,False,False,294.0
59,disciplined,0.8557213930348259,False,False,218.0
60,disciplined,0.8507462686567164,False,False,197.0
61,disciplined,0.8557213930348259,False,False,218.0
62,disciplined,0.8631840796019901,False,False,245.0
63,borderline,0.6169154228855721,False,False,53.0
64,disciplined,0.8681592039800995,False,False,266.0
65,disciplined,0.8582089552238806,False,False,227.0
66,disciplined,0.8407960199004975,False,False,150.0
67,disciplined,0.8855721393034826,False,False,294.0
68,borderline,0.6119402985074627,False,False,49.0
69,disciplined,0.845771144278607,False,False,172.0
70,chronic,0.3880597014925373,False,True,27.0
71,borderline,0.6243781094527363,False,False,63.0
72,disciplined,0.8830845771144279,False,False,291.0
73,disciplined,0.8507462686567164,False,False,197.0
74,borderline,0.6218905472636815,False,False,61.0
75,borderline,0.6343283582089553,False,False,76.0
76,borderline,0.6069651741293532,False,False,44.0
77,borderline,0.599502487562189,False,False,39.0
78,disciplined,0.8731343283582089,False,False,277.0
79,disciplined,0.8756218905472637,False,False,283.0
80,disciplined,0.8781094527363185,False,False,286.0
81,borderline,0.6368159203980099,False,False,79.0
82,disciplined,0.835820895522388,False,False,140.0
83,disciplined,0.8656716417910447,False,False,254.0
84,disciplined,0.8333333333333334,False,False,136.0
85,disciplined,0.8706467661691543,False,False,271.0
86,disciplined,0.8407960199004975,False,False,150.0
87,borderline,0.6194029850746269,False,False,57.0
88,disciplined,0.8656716417910447,False,False,254.0
89,borderline,0.6218905472636815,False,False,61.0
90,disciplined,0.8631840796019901,False,False,245.0
91,disciplined,0.8606965174129353,False,False,235.0
92,borderline,0.6243781094527363,False,False,63.0
93,borderline,0.6019900497512438,False,False,41.0
94,disciplined,0.8482587064676617,False,False,187.0
95,borderline,0.6243781094527363,False,False,63.0
96,disciplined,0.8333333333333334,False,False,136.0
97,disciplined,0.8606965174129353,False,False,235.0
98,disciplined,0.8681592039800995,False,False,266.0
99,disciplined,0.8507462686567164,False,False,197.0
100,disciplined,0.8084577114427861,False,False,106.0
101,disciplined,0.8756218905472637,False,False,283.0
102,disciplined,0.818407960199005,False,False,111.0
103,disciplined,0.8432835820895522,False,False,160.0
104,disciplined,0.8383084577114428,False,False,144.0
105,chronic,0.35323383084577115,False,True,11.0
106,disciplined,0.8532338308457711,False,False,207.0
107,disciplined,0.8631840796019901,False,False,245.0
108,borderline,0.5771144278606966,False,False,32.0
109,disciplined,0.8557213930348259,False,False,218.0
110,disciplined,0.8656716417910447,False,False,254.0
111,disciplined,0.8308457711442786,False,False,129.0
112,disciplined,0.8582089552238806,False,False,227.0
113,chronic,0.3358208955223881,False,True,3.0
114,borderline,0.6368159203980099,False,False,79.0
115,disciplined,0.8233830845771144,False,False,115.0
116,borderline,0.599502487562189,False,False,39.0
117,borderline,0.6592039800995025,False,False,98.0
118,disciplined,0.845771144278607,False,False,172.0
119,borderline,0.6417910447761194,False,False,84.0
120,disciplined,0.8407960199004975,False,False,150.0
121,borderline,0.5845771144278606,False,False,33.0
122,borderline,0.664179104477612,False,False,103.0
123,disciplined,0.8582089552238806,False,False,227.0
124,disciplined,0.8706467661691543,False,False,271.0
125,disciplined,0.8582089552238806,False,False,227.0
126,disciplined,0.8383084577114428,False,False,144.0
127,borderline,0.6467661691542289,False,False,90.0
128,borderline,0.5945273631840796,False,False,37.0
