month,computer,economics,english,maths,science
1,0.6911111111111111,0.6658333333333334,0.7437037037037038,0.686923076923077,0.6544444444444445
4,0.7716666666666666,0.8,0.8266666666666667,0.75,0.75
5,0.7781481481481481,0.7766666666666666,0.8237037037037037,0.7817948717948718,0.7248148148148148
6,0.7666666666666667,0.7541666666666667,0.812962962962963,0.7684615384615384,0.7270833333333333
7,0.7359259259259259,0.7826666666666666,0.7603703703703704,0.7064102564102565,0.7326666666666667
8,0.7862962962962963,0.76,0.8075,0.7730769230769231,0.7333333333333333
9,0.7803703703703704,0.7508333333333334,0.8296296296296296,0.7676923076923077,0.7177777777777777
10,0.7625925925925926,0.762,0.7996296296296296,0.7426190476190476,0.7233333333333334
11,0.7358333333333333,0.71,0.7783333333333333,0.7475,0.6733333333333333
12,0.7133333333333334,0.7113333333333334,0.7566666666666667,0.7214285714285714,0.6748148148148149
