month,borderline,chronic,disciplined
1,0.4926289926289926,0.07758620689655173,0.8555606829718505
4,0.6891891891891891,0.46120689655172414,0.8477157360406091
5,0.6977886977886978,0.4717868338557994,0.8524457775726811
6,0.6586229086229086,0.4548440065681445,0.8558133913463862
7,0.6445358401880141,0.4077961019490255,0.8197969543147208
8,0.667953667953668,0.4942528735632184,0.8544839255499154
9,0.667997542997543,0.45219435736677116,0.8569450853714813
10,0.6377790834312573,0.3770614692653673,0.8562127565658795
11,0.5837837837837838,0.28620689655172415,0.8544416243654822
12,0.5566980023501763,0.18440779610194902,0.8548885455749283
